Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles,Smiles (RDKit Mol)
CHEMBL4451986,IC50,'=',52.0,nM,CHEMBL4411272,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL5175316,IC50,'=',87.0,nM,CHEMBL5137051,COc1ccc(C(=O)Nc2cc(Nc3nccc(-c4cn(C)c5ccccc45)n3)c(OC)cc2N(C)CCN(C)C)nc1, 
CHEMBL5191292,IC50,'=',100.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL5196254,IC50,'=',110.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL4468034,IC50,'=',177.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4470120,IC50,'=',201.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4583858,IC50,'=',203.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4527702,IC50,'=',209.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL4452628,IC50,'=',219.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1, 
CHEMBL4535047,IC50,'=',360.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1, 
CHEMBL5203821,IC50,'=',360.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL4472983,IC50,'=',388.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL5174232,IC50,'=',391.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL4438905,IC50,'=',397.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1, 
CHEMBL5185772,IC50,'=',420.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nc(-c2cn(C)c3ccccc23)c2cccnc2n1, 
CHEMBL4553484,IC50,'=',892.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccc(F)cc23)n1, 
CHEMBL4579805,IC50,'=',923.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4583545,IC50,'=',990.0,nM,CHEMBL4312015,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4445761,IC50,'=',998.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282543,IC50,'=',0.4,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1, 
CHEMBL4279227,IC50,'=',0.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282954,IC50,'=',0.6,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1, 
CHEMBL4287401,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1, 
CHEMBL4294211,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1, 
CHEMBL4293145,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1, 
CHEMBL4279016,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1, 
CHEMBL4293734,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)CC1, 
CHEMBL4278815,IC50,'=',1.3,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282523,IC50,'=',1.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C, 
CHEMBL4280993,IC50,'=',2.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C, 
CHEMBL2029438,IC50,'=',0.7,nM,CHEMBL5120754,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1, 
CHEMBL4575583,IC50,'=',1.0,nM,CHEMBL4354875,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3nc(SC)n(C)c3-c3ccc(F)cc3)ccn2)c1, 
CHEMBL5187169,IC50,'=',9.1,nM,CHEMBL5096180,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(SCC(=O)N4CCOCC4)cc3)ncc2Cl)c1, 
CHEMBL3954684,IC50,'=',20.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2C(F)(F)F)c1, 
CHEMBL3956465,IC50,'=',20.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2C(F)(F)F)c1, 
CHEMBL5196024,IC50,'=',27.5,nM,CHEMBL5096180,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(SCCCN4CCOCC4)cc3)ncc2Cl)c1, 
CHEMBL5196498,IC50,'=',33.03,nM,CHEMBL5113409,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CCCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ncc2C(F)(F)F)c1, 
CHEMBL3986363,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1, 
CHEMBL3954273,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Br)c1, 
CHEMBL3910422,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Br)c1, 
CHEMBL4441037,IC50,'=',111.0,nM,CHEMBL4354875,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3c(-c4ccc(F)cc4)nc(SC)n3C)ccn2)c1, 
CHEMBL5204954,IC50,'=',133.7,nM,CHEMBL5113409,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(CC(=O)NCCNc5cccc6c5C(=O)N(C5CCC(=O)N(C)C5=O)C6=O)CC4)cc3OC)ncc2C(F)(F)F)c1, 
CHEMBL3938358,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Cl)c1, 
CHEMBL3954906,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Br)c1, 
CHEMBL3903641,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2C(F)(F)F)c1, 
CHEMBL3891187,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2C(F)(F)F)c1, 
CHEMBL3903707,IC50,'=',650.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Cl)c1, 
CHEMBL3919271,IC50,'=',650.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2Cl)c1, 
CHEMBL5179538,IC50,'=',965.3,nM,CHEMBL5113409,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(CC(=O)NCCNc5cccc6c5CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ncc2C(F)(F)F)c1, 
CHEMBL4290812_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCN(C)CC1, 
CHEMBL4282688_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2ccc(OC)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4279057_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N(C)C)C1, 
CHEMBL4293126_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OCC)cc1N(C)CCN(C)C, 
CHEMBL4277911_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(CC)CCN(C)C, 
CHEMBL4287141_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4cc(F)ccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4290568_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2ccc(C)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4288246_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN1CCOCC1, 
CHEMBL4286318_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4289490_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4cc(Cl)ccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4557772_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(F)C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4464589_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4548960_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4439632_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(Cl)C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4445797_synthetic_inactive,IC50,'=',10000.0,nM,,CC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4444312_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4460320_synthetic_inactive,IC50,'=',10000.0,nM,,CC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4463634_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(Cl)C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4471845_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(Cl)C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CSCC3)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4441933_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(Cl)C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4553685_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4434924_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cc(C)cc(-c2cn(C)c3ccccc23)c1, 
CHEMBL4451986_synthetic_inactive,IC50,'=',10000.0,nM,,C/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL5175316_synthetic_inactive,IC50,'=',10000.0,nM,,COc1ccc(C(=O)Nc2cc(Cc3cccc(-c4cn(C)c5ccccc45)c3)c(OC)cc2N(C)CCN(C)C)nc1, 
CHEMBL5191292_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL5196254_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL4468034_synthetic_inactive,IC50,'=',10000.0,nM,,CC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4470120_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4583858_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4527702_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL4452628_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1ccc(C#N)c(-c2cn(C)c3ccccc23)c1, 
CHEMBL4535047_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1ccc(C#N)c(-c2cn(C)c3ccc(F)cc23)c1, 
CHEMBL5203821_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL4472983_synthetic_inactive,IC50,'=',10000.0,nM,,CC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL5174232_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL4438905_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, 
CHEMBL5185772_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Cc1cc(-c2cn(C)c3ccccc23)c2cccnc2c1, 
CHEMBL4553484_synthetic_inactive,IC50,'=',10000.0,nM,,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cc(C)cc(-c2cn(C)c3ccc(F)cc23)c1, 
CHEMBL4579805_synthetic_inactive,IC50,'=',10000.0,nM,,CCC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4583545_synthetic_inactive,IC50,'=',10000.0,nM,,C=C(Cl)C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4445761_synthetic_inactive,IC50,'=',10000.0,nM,,CC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282543_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1OCCN1CCN(C)CC1, 
CHEMBL4279227_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3c[nH]c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282954_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCOCC1, 
CHEMBL4287401_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1OCCN1CCOCC1, 
CHEMBL4294211_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N2CCOCC2)CC1, 
CHEMBL4293145_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1O[C@H]1CCOC1, 
CHEMBL4279016_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1, 
CHEMBL4293734_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N(C)C)CC1, 
CHEMBL4278815_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cnn4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, 
CHEMBL4282523_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)ccc1N(C)CCN(C)C, 
CHEMBL4280993_synthetic_inactive,IC50,'=',10000.0,nM,,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(C)cc1N(C)CCN(C)C, 
CHEMBL2029438_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3ccc(Cc4ccc(N5CCN(C)CC5)cc4OC)cc32)c1, 
CHEMBL5187169_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(SCC(=O)N4CCOCC4)cc3)ccc2Cl)c1, 
CHEMBL3954684_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)cc3OC)ccc2C(F)(F)F)c1, 
CHEMBL3956465_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2C(F)(F)F)c1, 
CHEMBL5196024_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(SCCCN4CCOCC4)cc3)ccc2Cl)c1, 
CHEMBL5196498_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(N4CCN(C(=O)CCCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ccc2C(F)(F)F)c1, 
CHEMBL3986363_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2Cl)c1, 
CHEMBL3954273_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2Br)c1, 
CHEMBL3910422_synthetic_inactive,IC50,'=',10000.0,nM,,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)cc3OC)ccc2Br)c1, 
